Time,Xpos,Ypos,Zpos
4.92,-0.114906250387786,0.017255484166134,94.1315862503318
4.94,-0.115942452125203,0.0174070078640488,94.9321698621153
4.94,-0.115942452125203,0.0174070078640488,94.9321698621153
4.94,-0.115942452125203,0.0174070078640488,94.9321698621153
4.96,-0.116983693808297,0.0175588732871624,95.7362289777615
4.96,-0.116983693808297,0.0175588732871624,95.7362289777615
4.96,-0.116983693808297,0.0175588732871624,95.7362289777615
4.98,-0.118031377334585,0.0177111003306407,96.5437694996395
4.98,-0.118031377334585,0.0177111003306407,96.5437694996395
4.98,-0.118031377334585,0.0177111003306407,96.5437694996395
4.98,-0.118031377334585,0.0177110757828741,96.543769499851
5,-0.119083771947995,0.017863680951614,97.3547873362485
5,-0.119083771947995,0.017863680951614,97.3547873362485
5,-0.119083771947995,0.017863680951614,97.3547873362485
5.02,-0.120142986156004,0.0180166142069415,98.1692875660526
5.02,-0.120142986156004,0.0180166142069415,98.1692875660526
5.02,-0.120142986156004,0.0180166142069415,98.1692875660526
5.04,-0.12120754725504,0.0181699008843382,98.9872696350796
5.04,-0.12120754725504,0.0181699008843382,98.9872696350796
5.04,-0.12120754725504,0.0181699008843382,98.9872696350796
5.04,-0.121207370825644,0.0181698755393591,98.9872696353003
5.06,-0.122277086944191,0.018323547961534,99.8087316669859
5.06,-0.122277086944191,0.018323547961534,99.8087316669859
5.06,-0.122277086944191,0.018323547961534,99.8087316669859
5.08,-0.12335278701503,0.018477547650008,100.633678144515
5.08,-0.12335278701503,0.018477547650008,100.633678144515
5.08,-0.12335278701503,0.018477547650008,100.633678144515
5.1,-0.124434794268861,0.0186318961052928,101.462111112037
5.1,-0.124434794268861,0.0186318961052928,101.462111112037
5.1,-0.124434794268861,0.0186318961052928,101.462111112037
5.12,-0.125522531158243,0.0187865821409328,102.294027314917
5.12,-0.125522531158243,0.0187865821409328,102.294027314917
5.12,-0.125522531158243,0.0187865821409328,102.294027314917
5.12,-0.125522531158243,0.0187865821409328,102.294027314917
5.14,-0.126616294317181,0.0189416144852404,103.129433340927
5.14,-0.126616294317181,0.0189416144852404,103.129433340927
5.14,-0.126616294317181,0.0189416144852404,103.129433340927
5.16,-0.12771674451491,0.0190969944003964,103.968327668246
5.16,-0.12771674451491,0.0190969944003964,103.968327668246
5.16,-0.12771674451491,0.0190969944003964,103.968327668246
5.18,-0.128823039942205,0.0192527047950577,104.810710902147
5.18,-0.128823039942205,0.0192527047950577,104.810710902147
5.18,-0.128823039942205,0.0192527047950577,104.810710902147
5.18,-0.128823039942205,0.0192527047950577,104.810710902147
5.2,-0.129934245631762,0.0194087271072634,105.656581023006
5.2,-0.129934245631762,0.0194087271072634,105.656581023006
5.2,-0.129934245631762,0.0194087271072634,105.656581023006
5.22,-0.131051307487578,0.0195650813434935,106.505943440775
5.22,-0.131051307487578,0.0195650813434935,106.505943440775
5.22,-0.131051307487578,0.0195650813434935,106.505943440775
5.24,-0.132173927437286,0.0197217663841973,107.358796891641
5.24,-0.132173927437286,0.0197217663841973,107.358796891641
5.24,-0.132173927437286,0.0197217663841973,107.358796891641
5.24,-0.132173927437286,0.0197217663841973,107.358796891641
5.26,-0.133302604817647,0.0198787613060794,108.215143227583
5.26,-0.133302604817647,0.0198787613060794,108.215143227583
5.26,-0.133302604817647,0.0198787613060794,108.215143227583
5.28,-0.134437953207204,0.0200360716063118,109.074984158575
5.28,-0.134437953207204,0.0200360716063118,109.074984158575
5.28,-0.134437953207204,0.0200360716063118,109.074984158575
5.3,-0.135579383361119,0.0201936762498315,109.938320157246
5.3,-0.135579383361119,0.0201936762498315,109.938320157246
5.3,-0.135579383361119,0.0201936762498315,109.938320157246
5.3,-0.135579383361119,0.0201936473207933,109.938320157511
5.32,-0.136726046120693,0.0203515816298722,110.805151851092
5.32,-0.136726046120693,0.0203515816298722,110.805151851092
5.32,-0.136726046120693,0.0203515816298722,110.805151851092
5.34,-0.137878222655381,0.0205097677074577,111.675479313052
5.34,-0.137878222655381,0.0205097677074577,111.675479313052
5.34,-0.137878222655381,0.0205097677074577,111.675479313052
5.36,-0.139037362976072,0.0206682397877206,112.549306914012
5.36,-0.139037362976072,0.0206682397877206,112.549306914012
5.36,-0.139037362976072,0.0206682397877206,112.549306914012
5.36,-0.139037144555587,0.020668210013728,112.549306914287
5.38,-0.140201906819915,0.0208269870926823,113.42663196301
5.38,-0.140201906819915,0.0208269870926823,113.42663196301
5.38,-0.140201906819915,0.0208269870926823,113.42663196301
5.4,-0.141373046861244,0.0209860125516497,114.307457969729
5.4,-0.141373046861244,0.0209860125516497,114.307457969729
5.4,-0.141373046861244,0.0209860125516497,114.307457969729
5.42,-0.142549779607958,0.0211452915520455,115.191782206485
5.42,-0.142549779607958,0.0211452915520455,115.191782206485
5.42,-0.142549779607958,0.0211452915520455,115.191782206485
5.44,-0.143731122260341,0.021304825258975,116.079608374635
5.44,-0.143731122260341,0.021304825258975,116.079608374635
5.44,-0.143731122260341,0.021304825258975,116.079608374635
5.44,-0.143731122260341,0.021304825258975,116.079608374635
5.46,-0.144918373269007,0.0214646192845014,116.970937721258
5.46,-0.144918373269007,0.0214646192845014,116.970937721258
5.46,-0.144918373269007,0.0214646192845014,116.970937721258
5.48,-0.146112320000775,0.021624649519629,117.86577014507
5.48,-0.146112320000775,0.021624649519629,117.86577014507
5.48,-0.146112320000775,0.021624649519629,117.86577014507
5.5,-0.14731224064559,0.021784923692845,118.76410942979
5.5,-0.14731224064559,0.021784923692845,118.76410942979
5.5,-0.14731224064559,0.021784923692845,118.76410942979
5.5,-0.14731224064559,0.021784923692845,118.76410942979
5.52,-0.148518511696835,0.0219454247343329,119.665954194333
5.52,-0.148518511696835,0.0219454247343329,119.665954194333
5.52,-0.148518511696835,0.0219454247343329,119.665954194333
5.54,-0.149730016386528,0.0221061484297744,120.571303518232
5.54,-0.149730016386528,0.0221061484297744,120.571303518232
5.54,-0.149730016386528,0.0221061484297744,120.571303518232
5.56,-0.150948650358835,0.0222670990427808,121.480162680512
5.56,-0.150948650358835,0.0222670990427808,121.480162680512
5.56,-0.150948650358835,0.0222670990427808,121.480162680512
5.56,-0.150948650358835,0.0222670990427808,121.480162680512
5.58,-0.15217153990676,0.0224282675736228,122.392527770947
5.58,-0.15217153990676,0.0224282675736228,122.392527770947
5.58,-0.15217153990676,0.0224282675736228,122.392527770947
5.6,-0.153401579840313,0.0225896523755174,123.3084053549
5.6,-0.153401579840313,0.0225896523755174,123.3084053549
5.6,-0.153401579840313,0.0225896523755174,123.3084053549
5.62,-0.154636722308794,0.0227512470405422,124.227791064594
5.62,-0.154636722308794,0.0227512470405422,124.227791064594
5.62,-0.154636722308794,0.0227512470405422,124.227791064594
5.62,-0.154636722308794,0.0227512135420027,124.227791064921
5.64,-0.155879002086934,0.0229130623405181,125.150691384418
5.64,-0.155879002086934,0.0229130623405181,125.150691384418
5.64,-0.155879002086934,0.0229130623405181,125.150691384418
5.66,-0.157126264651907,0.0230750880559783,126.077100179696
5.66,-0.157126264651907,0.0230750880559783,126.077100179696
5.66,-0.157126264651907,0.0230750880559783,126.077100179696
5.68,-0.158380028239151,0.0232373300037162,127.007023468118
5.68,-0.158380028239151,0.0232373300037162,127.007023468118
5.68,-0.158380028239151,0.0232373300037162,127.007023468118
5.68,-0.158379761857105,0.023237295621712,127.007023468456
5.7,-0.159638613067294,0.0233997786142313,127.940459968839
5.7,-0.159638613067294,0.0233997786142313,127.940459968839
5.7,-0.159638613067294,0.0233997786142313,127.940459968839
5.72,-0.160904487590976,0.0235624416726382,128.877413826907
5.72,-0.160904487590976,0.0235624416726382,128.877413826907
5.72,-0.160904487590976,0.0235624416726382,128.877413826907
5.74,-0.162176770917398,0.0237253250120314,129.817885553305
5.74,-0.162176770917398,0.0237253250120314,129.817885553305
5.74,-0.162176770917398,0.0237253250120314,129.817885553305
5.76,-0.163454480333051,0.0238884096160433,130.761871245507
5.76,-0.163454480333051,0.0238884096160433,130.761871245507
5.76,-0.163454480333051,0.0238884096160433,130.761871245507
5.76,-0.163454480333051,0.0238884096160433,130.761871245507
5.78,-0.164738950651582,0.0240517061585261,131.709378787771
5.78,-0.164738950651582,0.0240517061585261,131.709378787771
5.78,-0.164738950651582,0.0240517061585261,131.709378787771
5.8,-0.166029083128798,0.0242151713620109,132.660403373163
