Time,Altitude,Downrange
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.68,107.9,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.42,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,108.95,0
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,109.48,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.76,110.02,-0.08
1.84,110.02,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,110.57,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.12,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,111.68,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.84,112.24,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,112.81,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.38,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,113.97,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
1.92,114.55,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.15,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,115.75,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.35,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2,116.96,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
2.08,117.58,-0.08
