Time,Altitude (m),Downrange (m)
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54438.95,21670.27
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54467.94,21682.42
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.57,54496.92,21694.64
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54525.9,21706.87
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54554.87,21719.09
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54583.85,21731.23
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.65,54612.82,21743.46
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54641.78,21755.68
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54670.75,21767.83
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54699.71,21780.05
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.73,54728.67,21792.27
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54757.62,21804.42
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21816.64
70.81,54786.58,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54815.53,21828.79
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.81,54844.47,21841.01
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54873.42,21853.15
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54902.36,21865.38
70.89,54931.3,21877.52
